gameId,gameDateTimeEst,homeTeamId,awayTeamId,homeTeamCity,homeTeamName,awayTeamCity,awayTeamName,gameDay,arenaName,arenaCity,arenaState,gameLabel,gameSubLabel,gameSubtype,seriesGameNumber,weekNumber
0042500405,2026-06-13 20:30:00,1610612759,1610612752,San Antonio,Spurs,New York,Knicks,Sat,Frost Bank Center,San Antonio,TX,NBA Finals,Game 5,,Game 5,34
0042500406,2026-06-16 20:30:00,1610612752,1610612759,New York,Knicks,San Antonio,Spurs,Tue,Madison Square Garden,New York,NY,NBA Finals,Game 6,,Game 6,35
0042500407,2026-06-19 20:30:00,1610612759,1610612752,San Antonio,Spurs,New York,Knicks,Fri,Frost Bank Center,San Antonio,TX,NBA Finals,Game 7,,Game 7,35
