gameId,gameDateTimeEst,hometeamName,awayteamName,homeScore,awayScore,home_win,is_playoff,home_elo,away_elo,elo_diff,home_elo_games_played,away_elo_games_played,elo_expected_home_win,close_game,home_division,away_division,same_division,home_points,home_reboundsDefensive,home_reboundsOffensive,home_assists,home_steals,home_blocks,home_turnovers,home_minutes,home_player_count,away_points,away_reboundsDefensive,away_reboundsOffensive,away_assists,away_steals,away_blocks,away_turnovers,away_minutes,away_player_count,home_last5_pts,home_last5_rebounds,home_last5_ast,home_last5_stl,home_last5_blk,home_last5_tov,home_last5_min,home_last5_player_count,away_last5_pts,away_last5_rebounds,away_last5_ast,away_last5_stl,away_last5_blk,away_last5_tov,away_last5_min,away_last5_player_count,pts_diff_last5,reb_diff_last5,ast_diff_last5,min_diff_last5,player_count_diff_last5,stl_diff_last5,blk_diff_last5,tov_diff_last5,home_playoff_exp,away_playoff_exp,playoff_exp_diff,home_injury_impact,away_injury_impact,injury_impact_diff,home_last5_winrate,home_last3_winrate,home_last10_winrate,home_winrate_trend,home_last5_avg_points,home_last5_avg_points_allowed,home_rest_days,home_is_back_to_back,home_opponent_strength,home_h2h_winrate,home_home_winrate,home_away_winrate,home_last_game_close,home_games_last7,home_consecutive_away,home_current_streak,home_last5_mov,home_last10_mov,away_last5_winrate,away_last3_winrate,away_last10_winrate,away_winrate_trend,away_last5_avg_points,away_last5_avg_points_allowed,away_rest_days,away_is_back_to_back,away_opponent_strength,away_h2h_winrate,away_home_winrate,away_away_winrate,away_last_game_close,away_games_last7,away_consecutive_away,away_current_streak,away_last5_mov,away_last10_mov,winrate_diff,last10_winrate_diff,winrate_trend_diff,average_points_diff,average_points_allowed_diff,rest_days_diff,h2h_winrate_diff,streak_diff,mov_diff,home_pts_per_pace,away_pts_per_pace,pts_per_pace_diff,home_off_rating,away_off_rating,home_def_rating,away_def_rating,home_net_rating,away_net_rating,net_rating_diff,off_rating_diff,def_rating_diff,season_progress,season,home_series_wins,away_series_wins,series_wins_diff,is_elimination_game,market_prob_home_win
21600007,2016-10-26,Toronto Raptors,Detroit Pistons,109,91,1,0,,,,0,0,,0,Atlantic,Central,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.857142857142857,13.533333333333333,-6.6761904761904765,0.0,0.0,0.0,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,0.0,0,,,,,,,,,,,,,,0.09259259259259259,2016,0,0,0,0,
21600004,2016-10-26,Orlando Magic,Miami Heat,96,108,0,0,,,,0,0,,0,Southeast,Southeast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.785714285714286,0.0,6.785714285714286,0.0,0.0,0.0,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,0.0,0,,,,,,,,,,,,,,0.09259259259259259,2016,0,0,0,0,
21600005,2016-10-26,Indiana Pacers,Dallas Mavericks,130,121,1,0,,,,0,0,,0,Central,Southwest,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,28.440416666666664,10.719666666666669,17.720749999999995,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,0.0,0,,,,,,,,,,,,,,0.09259259259259259,2016,0,0,0,0,
21600014,2016-10-27,Atlanta Hawks,Washington Wizards,114,99,1,0,,,,0,0,,0,Southeast,Southeast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,16.743222222222222,-16.743222222222222,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,0.0,0,,,,,,,,,,,,,,0.0962962962962963,2016,0,0,0,0,
21600016,2016-10-27,Sacramento Kings,San Antonio Spurs,94,102,0,0,,,,1,1,,0,Pacific,Southwest,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.533333333333333,-12.533333333333333,37.369777777777784,18.111649999999997,19.258127777777787,,1.0,,,,,1.0,1,,0.5,,1.0,0.0,2.0,1,1,,,,1.0,,,,,2.0,0,,0.5,,1.0,0.0,2.0,1,1,,,,,,,,-1.0,0.0,0,,,,,,,,,,,,,,0.0962962962962963,2016,0,0,0,0,
21600015,2016-10-27,Chicago Bulls,Boston Celtics,105,99,1,0,,,,0,1,,0,Central,Atlantic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,-7.0,14.233666666666664,0.0,14.233666666666664,,,,,,,,0,,0.5,,,,1.0,0,0,,,,1.0,,,,,1.0,1,,0.5,1.0,,1.0,2.0,0,1,,,,,,,,,0.0,-1,,,,,,,,,,,,,,0.0962962962962963,2016,0,0,0,0,
21600017,2016-10-27,Portland Trail Blazers,LA Clippers,106,114,0,0,,,,1,0,,0,Northwest,Pacific,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,12.598,-12.598,,1.0,,,,,2.0,0,,0.5,1.0,,0.0,2.0,0,1,,,,,,,,,,0,,0.5,,,,1.0,0,0,,,,,,,,,0.0,1,,,,,,,,,,,,,,0.0962962962962963,2016,0,0,0,0,
21600025,2016-10-28,New Orleans Pelicans,Golden State Warriors,114,122,0,0,,,,1,1,,0,Southwest,Pacific,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,22.376416666666668,-22.376416666666668,,0.0,,,,,2.0,0,,0.5,0.0,,1.0,2.0,0,-1,,,,0.0,,,,,3.0,0,,0.5,0.0,,0.0,2.0,0,-1,,,,,,,,-1.0,0.0,0,,,,,,,,,,,,,,0.1,2016,0,0,0,0,
21600023,2016-10-28,Dallas Mavericks,Houston Rockets,98,106,0,0,,,,1,1,,0,Southwest,Southwest,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.769230769230769,-5.769230769230769,10.719666666666669,14.188416666666669,-3.46875,,0.0,,,,,2.0,0,,0.5,,0.0,0.0,2.0,1,-1,,,,0.0,,,,,2.0,0,,0.5,,0.0,0.0,2.0,1,-1,,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,0.1,2016,0,0,0,0,
21600020,2016-10-28,Detroit Pistons,Orlando Magic,108,82,1,0,,,,1,1,,0,Central,Southeast,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.533333333333333,6.785714285714286,6.747619047619048,0.0,0.0,0.0,,0.0,,,,,2.0,0,,0.5,,0.0,0.0,2.0,1,-1,,,,0.0,,,,,2.0,0,,0.5,0.0,,0.0,2.0,0,-1,,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,0.1,2016,0,0,0,0,
